0	0
1	8128
2	-8128
3	4096
4	4032
5	8128
6	-8128
7	4096
8	4032
9	-4096
10	-8128
11	4096
12	4032
13	-4096
14	-4032
15	4096
16	4032
17	-4096
18	-4032
19	-64
20	4032
21	-4096
22	-4032
23	-64
24	64
25	-4096
26	-4032
27	-64
28	64
29	0
30	-4032
31	-64
32	64
33	0
34	8128
35	-64
36	64
37	0
38	8128
39	-8128
40	64
41	0
42	8128
43	-8128
44	4096
45	0
46	8128
47	-8128
48	4096
49	4032
50	8128
51	-8128
52	4096
53	4032
54	-4096
55	-8128
56	4096
57	4032
58	-4096
59	-4032
60	4096
61	4032
62	-4096
63	-4032
64	-64
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	-4096
161	-4032
162	-64
163	64
164	0
165	-4032
166	-64
167	64
168	0
169	8128
170	-64
171	64
172	0
173	8128
174	-8128
175	64
176	0
177	8128
178	-8128
179	4096
180	0
181	8128
182	-8128
183	4096
184	4032
185	8128
186	-8128
187	4096
188	4032
189	-4096
190	-8128
191	4096
192	4032
193	-4096
194	-4032
195	4096
196	4032
197	-4096
198	-4032
199	-64
200	4032
201	-4096
202	-4032
203	-64
204	64
205	-4096
206	-4032
207	-64
208	64
209	0
210	-4032
211	-64
212	64
213	0
214	8128
215	-64
216	64
217	0
218	8128
219	-8128
220	64
221	0
222	8128
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	0
272	0
273	0
274	0
275	0
276	0
277	0
278	0
279	0
280	0
281	0
282	0
283	0
284	0
285	0
286	0
287	0
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	0
296	0
297	0
298	0
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
